Name1,Name2,Name3,Name4
Ski marathon,Marathon à ski,Marathon à ski,
Skijoring,Ski joëring,Ski joëring,
Ski mountaineering,Ski de randonnée,Ski de randonnée,Skimo
Ski touring,Ski de montagne,Ski de montagne,
Telemark skiing,Télémark,Télémark,
Circus disciplines,,,
Slacklining,Slackline,Slackline,
Freestyle slacklining,Slackline freestyle,Slackline freestyle,
Highlining,Highlining,Highlining,
Slackline yoga,Slackline yoga,Slackline yoga,
Tightrope walking,Fil de fer,Fil de fer,Funambulism
Tricklining,Tricklining,Tricklining,
Urbanlining,Urbanlining,Urbanlining,
Windlining,Windlining,Windlining,
Sliding sports,,,
Bobsleigh,Bobsleigh,Bobsleigh,bobsled
Luge,Luge de course,Luge de course,
Street luging,Streetluge,Streetluge,
Skeleton,Skeleton,Skeleton,
Sledding,Traîneau,Luge,
Extreme sledding,Traîneau extrême,Luge extrême,
Riverboarding,Nage en eau vive,Nage en eau vive,hydrospeed
Board sports,,,
Power kite,Cerf volant de traction,Cerf volant de traction,
Freestyle kiteboarding,Kitesurf acrobatique,Kitesurf acrobatique,
Freeride kiteboarding,Kitesurf freeride,Kitesurf freeride,
Kite skating,Kite skating,Kite skating,"Kite rollerskating, Kiteblading"
Kiteboard racing,Course de kitesurf,Course de kitesurf,
Kiteboarding,Kitesurf,Kitesurf,
Wave riding kiteboarding,Kitesurf de vagues,Kitesurf de vagues,
Kite landboarding,Kite landboarding,Kite landboarding,
Snowkite,Snowkite,Snowkite,
Surfing,Surf,Surf,
Big wave,Suf big wave,Suf big wave,Big wave surfing
Body Surfing,Bodysurf,Bodysurf,
Bodyboarding,Bodyboard,Bodyboard,
Dirtsurfing,Dirtsurfing,Dirtsurfing,
Flowriding,Surf intérieur,Surf intérieur,Indoor surfing
